Name,f1,f2,f3,color
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-06 Qamara ya qammura.wav,-22.005838,40.607254,94.15996,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-07 El-hobb-e sabbahni `adam.wav,-27.655167,29.414087,99.349365,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-08 Enta farid fel-hosn.wav,-14.68244,47.159397,71.18442,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-09 El-hosn ana `esheqto.wav,-18.00826,38.421825,80.77056,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-10 Fe maglis el-ons el-hani.wav,8.718823,37.92782,96.30905,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-11 Bustan gamalak.wav,-48.879253,7.708959,85.67677,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 2]/2-01 El-bolbol gani.wav,-36.49548,26.645777,92.7803,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 2]/2-02 Ahin en-nafs.wav,-19.423342,47.894844,90.9683,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 2]/2-03 Ana a`shaq fe zamani.wav,-21.08652,5.688034,104.654144,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 2]/2-04 El-ward foq wagnat.wav,-33.996834,33.57954,91.35114,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 2]/2-05 Atani zamani.wav,-25.871431,49.710392,92.64764,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 2]/2-06 La ya `en.wav,-5.8940816,22.085339,63.861202,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 2]/2-07 Ya mufrad el-ghid.wav,-21.118288,29.419342,109.513,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 2]/2-08 Fa-ya muhgati dhubi gawan.wav,-10.081615,36.365925,87.60544,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-01 'Idi L-Yamin.wav,-10.254152,37.362766,65.36654,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-02 Ya Nakhleten Fel-'Alali.wav,-39.728207,5.1167574,81.425705,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-03 Ya Hadiya I-'is.wav,-13.490291,6.3798656,51.18574,darkblue
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-04 Nahat Fa-'agabtuha.wav,-12.258935,14.941262,96.913284,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-05 Hati Ayyuha S-Saqi.wav,-5.042689,28.621885,65.087074,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-06 A-Saqiyaya 'a-Khamrun Fi Ku'usikuma.wav,-3.8167412,41.70287,92.31613,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-07 La Tehsibu Inn El-Be'ad.wav,-6.2574973,40.200794,84.83604,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-08 El-'albe Dab Es'efini.wav,-23.783865,47.394062,73.547966,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-09 Sahi L-Gefun.wav,-12.9833765,42.89424,82.76467,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-10 Amr El-Gharam.wav,-4.59792,48.56127,75.17393,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-11 Ila Muhayyaka Nuru L-Badr.wav,-19.155073,45.63359,77.19242,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-12 Min Habbak 'awla Be-'urbak.wav,-15.166037,32.029034,78.890884,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-13 A-La Fi Sabili I-Lah.wav,-10.942298,18.756674,68.6809,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-01 Shakawtu Fa-Qalat.wav,-12.156364,39.50248,76.696106,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-02 A-Lasta Wa'adtani.wav,-30.844223,48.3103,77.23641,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-03 Araka 'Asiyya D-Dam'i.wav,-18.719948,42.496037,65.75827,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-04 Sabah Es-Sabah.wav,-30.574194,40.352913,89.381134,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-05 'Umri 'alayka Tashawwuqan.wav,-10.9721365,50.21258,81.01868,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-06 Ma-Ahebbe Gherak.wav,-21.702145,49.299606,83.9398,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-07 Ya Di L-Gamal Wed-Dalal.wav,-35.16956,50.759533,79.96905,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-08 Ya Laylu 'inna L-Habiba Wafa~ Gusnu Banin Gabinuhu.wav,-58.788864,32.299564,91.399284,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-09 Ye'ish Khedewi Masr.wav,-21.30668,52.567448,73.31548,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-10 Ya Masr 'unsek 'al.wav,-17.940573,51.6604,91.31316,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-11 Ya Akhal El-'en.wav,-22.402502,39.76243,100.05881,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-12 Mursala Tih Dalalan.wav,-21.552933,31.88948,64.162094,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-13 Maliki Ana 'abdak.wav,-13.042163,25.945597,71.78708,olive
./Clips/Abdallah Balkher/Zinjibar/01 Zingibar.wav,24.855482,23.392605,-36.7586,darkred
./Clips/Abdallah Balkher/Zinjibar/02 'Ashrah.wav,20.071558,16.983686,-32.992943,darkred
./Clips/Abdallah Balkher/Zinjibar/03 Layali 'Ashrah.wav,-20.373037,-13.290621,-24.785992,darkred
./Clips/Abdallah Balkher/Zinjibar/04 Azakhref Al Bukrah.wav,18.179605,26.928984,-33.50224,darkred
./Clips/Abdallah Balkher/Zinjibar/05 Daowar Fi El Daerah.wav,-3.8263392,-17.303095,-25.999863,skyblue
./Clips/Abdallah Balkher/Zinjibar/06 A'allayah.wav,14.733366,5.282534,-33.236897,darkred
./Clips/Abdul Karim Abdul Qader/Markab Gharami/01 Markab Gharami.wav,-29.025534,-55.285515,25.232845,skyblue
./Clips/Abdul Karim Abdul Qader/Markab Gharami/02 Layali Al Aman.wav,-10.63718,-49.837856,17.396574,darkblue
./Clips/Abdul Karim Abdul Qader/Markab Gharami/03 Min Ghair Mawa'eed.wav,-24.322586,-66.44811,2.2117958,darkblue
./Clips/Abdul Karim Abdul Qader/Markab Gharami/04 Ely Ya'azeena.wav,-25.053925,-45.580605,26.84977,darkblue
./Clips/Abdul Karim Abdul Qader/Markab Gharami/05 Ya Lail Tedan.wav,-10.379695,-45.40536,27.047352,darkblue
./Clips/Abdul Karim Abdul Qader/Markab Gharami/06 Ma Nisainah.wav,-19.846575,-48.29287,22.871689,darkblue
./Clips/Abdul Karim Abdul Qader/Sir Al Mahaba/01 Sir Al Mahaba.wav,36.414036,23.896084,-17.911814,red
./Clips/Abdul Karim Abdul Qader/Sir Al Mahaba/02 Bo Oyoun Fatana.wav,-31.320057,-6.9453964,-7.4477096,skyblue
./Clips/Abdul Karim Abdul Qader/Sir Al Mahaba/03 Ash'had Ma Bidalik.wav,44.502075,-11.0143385,-39.55319,darkred
./Clips/Abdul Karim Abdul Qader/Sir Al Mahaba/04 Allah Yani Walhan.wav,44.121796,14.816276,-31.49413,darkred
./Clips/Abdul Karim Abdul Qader/Sir Al Mahaba/05 Taif Al Ahiba.wav,58.156982,1.079248,-30.813398,darkred
./Clips/Abdul Karim Abdul Qader/Ziwar/01 Ziwar.wav,-32.88323,-12.79119,-32.353043,skyblue
./Clips/Abdul Karim Abdul Qader/Ziwar/02 Zain Al Hala.wav,-28.638123,-50.329247,34.535942,skyblue
./Clips/Abdul Karim Abdul Qader/Ziwar/03 Ta'eesh oo Taslim.wav,-28.916784,-48.384113,22.27786,skyblue
./Clips/Abdul Karim Abdul Qader/Ziwar/04 Ya Siwaihibi.wav,-17.177181,-53.191643,29.770483,skyblue
./Clips/Abdul Karim Abdul Qader/Ziwar/05 Ya Ahl Al Rikayib.wav,-21.80737,-16.329777,8.448502,skyblue
./Clips/Abdul Karim Abdul Qader/Ziwar/06 Khaleek Ma'ee Bil Ray.wav,-19.070333,-32.823166,34.034542,skyblue
./Clips/Abdul Karim Abdul Qader/Ziwar/07 Lail Al Hari.wav,-23.306406,-47.5727,36.91077,skyblue
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/01 Qanoo3.wav,28.384806,-33.95103,-102.60703,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/02 Feek Bka.wav,30.433971,-6.023242,-96.3784,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/03 Ashya'a Teswa.wav,25.780098,16.24779,-73.71807,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/04 El Khataya El 3sher.wav,37.38511,-3.331782,-87.39599,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/05 Gamra.wav,44.12897,-42.935593,-64.58074,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/06 Ta7yati.wav,19.880405,-34.38954,-102.42731,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/07 Leeh Tetlob.wav,38.65621,-43.261024,-90.12582,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/08 Ghayoorah.wav,-2.2814302,-45.46195,-69.60303,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/09 Wa7eed.wav,38.567616,2.5349765,-82.25028,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/10 Le Kol Nehaya Bedaya.wav,32.736748,-40.69386,-91.08718,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/11 Ya Galb Beshweesh.wav,14.298922,-29.940922,-84.737206,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/12 Kelly Assaf.wav,-26.57857,23.971445,-56.751984,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/13 Fazzat El Ashwag.wav,36.071938,-7.5863686,-74.88007,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/14 As3ab Talab.wav,6.352093,-39.184772,-47.840572,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/15 Ahbes El 3abrat.wav,21.737364,-43.1025,-65.814995,darkred
./Clips/Abdul Majeed Abdullah/El Khataya El 3sher/16 Asab3ak Tefreg.wav,23.955952,-2.259167,-98.37672,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-01 Yehlamoon (Live).wav,10.59106,19.728695,-77.077705,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-02 Ya Eyonah (Live).wav,0.22532196,17.225107,-80.13561,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-03 Ahbes El Aabraat (Live).wav,21.891525,-19.979738,-54.594135,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-04 Ashyaa Teswaa (Live).wav,10.2906275,9.200921,-79.18813,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-05 Yama Hawelt (Live).wav,12.713869,5.713014,-54.355263,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-06 Rouhi Tihabak (Live).wav,1.0282291,20.152512,-93.843056,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-07 Leh Tetlob (Live).wav,6.9688745,13.7770195,-89.59808,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-08 Elhaz Gabak (Live).wav,3.2182727,25.157953,-85.32652,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-09 Qanooa (Live).wav,6.2679486,-7.5656877,-57.092716,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-10 La Mayekfene (Live).wav,10.095616,-0.5709566,-61.80545,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-11 Magnon Sahe (Live).wav,-25.759754,-5.099407,-65.17584,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-12 Law Yom Ahad (Live).wav,20.026396,57.48932,-18.730328,red
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/1-13 Ehke Behamsak (Live).wav,1.044985,16.35672,-87.292694,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-01 El Khataya Aashar (Live).wav,19.469204,27.861818,-73.03981,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-02 Al Moot Al Ahmar (Live).wav,4.641233,5.5335298,-81.571625,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-03 Ma Bain Biyeenak (Live).wav,12.022498,-16.51158,-59.059105,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-04 Ya Qalb Beshwesh (Live).wav,-25.739511,34.356384,-99.081955,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-05 Qamat Elsaah (Live).wav,-7.755366,24.839787,-72.11852,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-06 Estaqsarak (Live).wav,-22.553413,8.120438,-57.85982,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-07 Asabaak (Live).wav,-1.0795826,2.2633405,-86.66951,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-08 Ajazbak Elhawa (Live).wav,-7.2382116,8.016921,-79.007576,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-09 Ya Tayab Elqalb (Live).wav,-12.219978,2.2929683,-64.61039,darkred
./Clips/Abdul Majeed Abdullah/Haflet Dubai 2014~ Vol. 1 & 2 (Live)/2-10 Kheles Hananak (Live).wav,3.1316414,3.4174702,-76.50251,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/01 همس الوله.wav,2.0901208,-4.1198626,-117.90576,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/02 كل ماتقفي.wav,14.049925,27.823423,-97.72111,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/03 فزي لاه يا أرض.wav,-11.379247,1.3830279,-115.50761,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/04 وداعك مر.wav,12.291619,-1.4138557,-107.50523,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/05 أناني.wav,-7.821186,-21.66314,-87.9991,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/06 إسمعني.wav,-13.177201,-86.56028,-52.7741,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/07 ياغايبة.wav,20.295671,-17.418865,-111.33375,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/08 قبل أعرفك.wav,-2.8635564,14.316648,-121.63761,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/09 هلا هلا.wav,10.276116,9.521132,-115.95624,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/10 وصلنا لوين.wav,-23.19124,-72.51415,-52.067028,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/11 يابن الحلال.wav,13.288346,-12.971865,-121.89131,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/12 غلطة.wav,20.653574,-28.250288,-122.967415,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/13 عيوني تشوف.wav,26.459942,24.911547,-126.266785,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/14 كله منك.wav,-47.570724,-54.02917,-75.05647,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/15 عيد ميلادك.wav,0.4026666,-88.59049,-60.90302,darkred
./Clips/Abdul Majeed Abdullah/إسمعني (Listen to Me)/16 ماني قدك.wav,13.54201,33.43747,-111.508705,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/01 Al Niate.wav,17.014355,-7.626191,-59.141262,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/02 Lazem Ashofak.wav,20.325695,-79.17614,-74.01312,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/03 Enty Helm.wav,26.767311,-3.7613206,-79.73977,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/04 Khalas Ya Zain.wav,0.3090889,-38.984833,-91.07673,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/05 Tesharfaa.wav,5.0593076,-10.396879,-75.438156,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/06 Redina Balhom.wav,37.332092,-24.191551,-72.4769,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/07 Gal Intazir.wav,-2.0612864,-34.34594,-72.79071,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/08 Soq Wakif.wav,19.09834,1.2880749,-64.13607,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/09 Gol Wallah.wav,2.08816,9.919554,-67.85307,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/10 Akhad Galby.wav,16.948788,7.690392,-87.70986,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/11 Layali Alkhouf.wav,32.39751,-37.843605,-80.81889,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/12 Abyeke Tehis.wav,-17.626284,-84.998634,-72.965485,darkred
./Clips/Abdullah Al Rowaished/Enty Helm/13 Maqdar Aspor.wav,8.758854,-8.0258255,-84.62845,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/01 Ma Sadag Khabar.wav,5.1588936,-45.01029,-82.6776,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/02 Dhumini.wav,-10.013234,-34.12529,-89.384384,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/03 Ya Galby.wav,19.108496,-44.19476,-84.89062,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/04 Fe Aman Allah.wav,-39.927967,-25.118654,-64.19679,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/05 Hananak.wav,-0.4498442,-33.814198,-81.76699,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/06 Ashkor El Sodfa.wav,52.82484,-51.515507,-70.70208,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/07 El Kber Lallah.wav,31.181793,-19.742647,-65.677826,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/08 Inta El Mohem.wav,47.533737,-67.11613,-67.28824,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/09 Aatzerlak.wav,-13.058568,-38.20541,-42.155422,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/10 Ayam El Ghala.wav,-3.0342383,-1.7895243,-34.393616,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/11 Ygol Ennh Byfargni.wav,-1.3745893,-18.127329,-58.770893,darkred
./Clips/Abdullah Al Rowaished/Laylet Omer – Maa Talal/12 Wa Welli.wav,25.569555,3.0518253,-87.99628,darkred
./Clips/Abdullah Al Rowaished/Live In Abha Festival/01 La Telumounah.wav,10.549828,-46.956787,-36.776646,darkred
./Clips/Abdullah Al Rowaished/Live In Abha Festival/02 Elii Nesak.wav,69.45654,-58.294746,-18.134277,darkred
./Clips/Abdullah Al Rowaished/Live In Abha Festival/03 Wen Rayeh.wav,-6.9913816,-8.3331585,-23.85783,darkred
./Clips/Abdullah Al Rowaished/Live In Abha Festival/04 Abeek.wav,-11.792066,-14.819405,-32.79399,darkred
./Clips/Abdullah Al Rowaished/Live In Abha Festival/05 Denia El Walah.wav,23.267784,-82.33511,-12.479655,darkred
./Clips/Abdullah Al Rowaished/Live In Abha Festival/06 Ta'aal.wav,21.378725,-14.842019,-23.53495,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/01 Mafi A7ad Merta7.wav,-9.216304,-42.85741,-67.24666,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/02 Meshtag.wav,-4.740866,-44.581665,-80.50297,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/03 Ma 3alaih.wav,16.070255,-15.378857,-47.26028,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/04 E3therini.wav,8.076651,-21.455326,-84.465385,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/05 Raje3.wav,52.759247,12.974763,-87.5667,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/06 Estath Elkheyanah.wav,-11.562204,-15.686704,-80.56224,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/07 9outi.wav,-5.594117,-39.140457,-72.962265,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/08 Mestahtera.wav,-13.530277,-37.368217,-65.97611,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/09 Ethkerini Ebkhair.wav,0.24935077,-42.903393,-60.61993,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/10 Abi.wav,7.113672,-18.562786,-68.35706,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/11 Elkelma Kelma.wav,21.67084,-30.078611,-77.63471,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/12 Elwala3.wav,21.635672,-25.206648,-71.46945,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/13 Ya Wailati.wav,4.24478,-30.011654,-88.28511,darkred
./Clips/Abdullah Al Rowaished/Mafi Ahad Mertah/14 Mafi A7ad Merta7 (With Abu Baker).wav,34.826298,17.946293,-53.006935,darkred
./Clips/Abu Bakr Salem/3ini Tashouf/01 Qalbi Muwal3.wav,19.617811,24.525286,-53.72934,darkred
./Clips/Abu Bakr Salem/3ini Tashouf/02 3ini Tashouf.wav,23.7778,-5.4908123,-36.857967,darkred
